job,job_category,job_category_manual,count,detailed review,,interesting
pharmacist,pharmacist,pharmacist,6,*,healthcare,
fire lookout,fire lookout,fire lookout,6,*,emergency services,
software development manager,manager,manager,6,,,
tutor,tutor,tutor,6,*,teacher,
physician healthcare analyst,misc health,misc health,6,*,healthcare,
eighth grader,grad student,grad student,6,,,
law student originally,unemployed,unemployed,6,*,student,
analyst,analyst,analyst,6,,,
construction attorney,attorney,attorney,7,*,lawyer,
english teacher,teacher,teacher,7,,,
english professor,professor,professor,7,,,
naval officer,military officer,military officer,7,,,
research scientist,scientist,scientist,7,,,
actuary,actuary,actuary,7,*,mathematician ,
volunteer guardian ad litem,volunteer,volunteer,7,,,
ph.d. student,grad student,grad student,7,,,
escalation manager,manager,manager,7,*,,
translation coordinator,coordinator,coordinator,7,*,admin ,
archivist,archivist,archivist,7,*,research / museum,
professor english,professor,professor,7,,,
middle school english teacher,teacher,teacher,7,,,
operations analyst,analyst,analyst,7,,,
science content developer,science content developer,science content developer,7,*,teacher,
high school science teacher,misc education,misc education,7,*,teacher,
compliance analyst voiceover artist,artist/designer,artist/designer,8,,,
copywriter,writer,writer,8,,,
banker,banker,banker,8,*,finance/service,
university administrator,university administrator,university administrator,8,*,admin ,
management consultant,consultant,consultant,8,,,
ph.d. student originally,unemployed,unemployed,8,*,grad student,
retired teacher,unemployed,unemployed,8,*,teacher,
customer service representative,customer service representative,customer service representative,9,*,service industry,
freshman,student,student,9,,,
chef,chef,chef,9,,,
network engineer,engineer,engineer,9,*,tech developer,
medical student,student,student,9,,,
physician,physician,physician,9,*,medical doctor,
math teacher,teacher,teacher,9,,,
project manager,manager,manager,10,,,
computer programmer,computer programmer,computer programmer,10,*,tech developer,
educator,teacher,teacher,10,,,
music teacher,musician,musician,10,*,teacher,
software developer,software developer,software developer,11,*,tech developer,
social worker,social worker,social worker,11,,,
attorney originally,unemployed,unemployed,12,*,lawyer,
currency trader,currency trader,currency trader,12,*,finance,
data scientist,scientist,scientist,12,,,
engineer,engineer,engineer,12,,,
writer originally,unemployed,unemployed,12,*,writer,
lawyer,lawyer,lawyer,13,,,
assistant professor,professor,professor,13,,,
music executive,musician,musician,13,,,
administrative assistant,administrative assistant,administrative assistant,14,*,admin ,
high school english teacher,misc education,misc education,14,*,teacher,
microbiologist,microbiologist,microbiologist,16,*,scientist,
journalist,journalist,journalist,16,*,writer,
writer editor,writer,writer,16,,,
sophomore,student,student,17,,,
editor,editor,editor,18,*,writer,
ph.d. candidate,grad student,grad student,18,,,
professor,professor,professor,19,,,
supply chain professional,supply chain professional,supply chain professional,21,,,
teacher,teacher,teacher,22,,,
high school history teacher,misc education,misc education,23,*,teacher,
bartender,artist/designer,artist/designer,26,*,serivce industry,
graduate student,grad student,grad student,28,,,
junior,student,student,29,,,
student,student,student,30,,,
software engineer,engineer,engineer,30,*,tech developer,
professional sports gambler,professional sports gambler,professional sports gambler,31,,,
stay-at-home mom,unemployed,unemployed,32,*,,
librarian,librarian,librarian,33,,,
senior,student,student,34,,,
writer,writer,writer,42,,,
attorney,attorney,attorney,123,,,
